text,stress_level,timestamp,source,author,context,location
"My morning has been frustrated, but I'm handling it.",medium,2024-06-14 12:06:17.111704,social_media,Michael Anderson,family,home
"my colleagues is causing some concerned feelings, but I'm coping.",medium,2024-06-30 12:06:17.113723,text_message,Michael Anderson,family,gym
The burden from exams is unbearable. I'm at my breaking point.,high,2025-03-26 12:06:17.113723,email,Susan Clark,health,gym
Just finished watching a good movie and feeling positive.,low,2024-11-03 12:06:17.113723,chat,William Miller,relationship,transit
"Things are somewhat distressed with health concerns, but not too bad.",medium,2024-04-01 12:06:17.113723,survey,Elizabeth Martinez,academic,home
I've been enjoying myself all day and it's been happy.,low,2024-05-04 12:06:17.113723,survey,Margaret Garcia,family,school
"exams is causing some distressed feelings, but I'm coping.",medium,2024-08-11 12:06:17.113723,social_media,Daniel Thompson,academic,office
I can't handle the frustration from exams anymore. I can't see an end to this.,high,2024-04-09 12:06:17.113723,forum,Lisa Thomas,family,office
Just finished cooking a nice meal and feeling wonderful.,low,2024-10-18 12:06:17.113723,blog,Joseph Martinez,work,gym
I don't know how to cope with this burden. My mind won't stop racing.,high,2025-03-09 12:06:17.113723,survey,Margaret Jackson,work,vacation
