text,stress_level,timestamp,source,author,context,location,cleaned_text,tokens,vader_scores,stress_keywords_found
"My morning has been frustrated, but I'm handling it.",medium,2024-06-14 12:06:17.111704,social_media,Michael Anderson,family,home,my morning has been frustrated but im handling it,"['morning', 'frustrated', 'im', 'handling']","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}","{'high': 0, 'medium': 0, 'low': 1}"
"my colleagues is causing some concerned feelings, but I'm coping.",medium,2024-06-30 12:06:17.113723,text_message,Michael Anderson,family,gym,my colleagues is causing some concerned feelings but im coping,"['colleague', 'causing', 'concerned', 'feeling', 'im', 'coping']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'high': 0, 'medium': 1, 'low': 1}"
The burden from exams is unbearable. I'm at my breaking point.,high,2025-03-26 12:06:17.113723,email,Susan Clark,health,gym,the burden from exams is unbearable im at my breaking point,"['burden', 'exam', 'unbearable', 'im', 'breaking', 'point']","{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}","{'high': 1, 'medium': 1, 'low': 0}"
Just finished watching a good movie and feeling positive.,high,2024-11-03 12:06:17.113723,chat,William Miller,relationship,transit,just finished watching a good movie and feeling positive,"['finished', 'watching', 'good', 'movie', 'feeling', 'positive']","{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.7906}","{'high': 0, 'medium': 0, 'low': 0}"
"Things are somewhat distressed with health concerns, but not too bad.",high,2024-04-01 12:06:17.113723,survey,Elizabeth Martinez,academic,home,things are somewhat distressed with health concerns but not too bad,"['thing', 'somewhat', 'distressed', 'health', 'concern', 'bad']","{'neg': 0.121, 'neu': 0.619, 'pos': 0.26, 'compound': 0.4627}","{'high': 0, 'medium': 0, 'low': 0}"
I've been enjoying myself all day and it's been happy.,high,2024-05-04 12:06:17.113723,survey,Margaret Garcia,family,school,ive been enjoying myself all day and its been happy,"['ive', 'enjoying', 'day', 'happy']","{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}","{'high': 0, 'medium': 0, 'low': 0}"
"exams is causing some distressed feelings, but I'm coping.",medium,2024-08-11 12:06:17.113723,social_media,Daniel Thompson,academic,office,exams is causing some distressed feelings but im coping,"['exam', 'causing', 'distressed', 'feeling', 'im', 'coping']","{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}","{'high': 0, 'medium': 0, 'low': 1}"
I can't handle the frustration from exams anymore. I can't see an end to this.,high,2024-04-09 12:06:17.113723,forum,Lisa Thomas,family,office,i cant handle the frustration from exams anymore i cant see an end to this,"['cant', 'handle', 'frustration', 'exam', 'anymore', 'cant', 'see', 'end']","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.3724}","{'high': 0, 'medium': 0, 'low': 0}"
Just finished cooking a nice meal and feeling wonderful.,high,2024-10-18 12:06:17.113723,blog,Joseph Martinez,work,gym,just finished cooking a nice meal and feeling wonderful,"['finished', 'cooking', 'nice', 'meal', 'feeling', 'wonderful']","{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.7906}","{'high': 0, 'medium': 0, 'low': 0}"
I don't know how to cope with this burden. My mind won't stop racing.,high,2025-03-09 12:06:17.113723,survey,Margaret Jackson,work,vacation,i dont know how to cope with this burden my mind wont stop racing,"['dont', 'know', 'cope', 'burden', 'mind', 'wont', 'stop', 'racing']","{'neg': 0.208, 'neu': 0.676, 'pos': 0.116, 'compound': -0.3584}","{'high': 0, 'medium': 1, 'low': 0}"
